Nazwa;Ticker;Kurs;Zmiana;Zmiana %;Wpływ na indeks;Udział w obrocie;Pakiet;Udział w portfelu
UNICREDIT;UCG;294.05;-4;-0.0134;-0.000013;0.000016;1862000;0.001
ATAL;1AT;52.7;-1.3;-0.0241;-0.000023;0.000247;10113000;0.0009
APATOR;APT;22.25;-0.35;-0.0155;-0.000013;0.000337;20936000;0.0008
DATAWALK;DAT;99;6;0.0645;0.000051;0.00178;4582000;0.0008
ENTER;ENT;55;-0.1;-0.0018;-0.000001;0.000172;8494000;0.0008
EUROCASH;EUR;6.205;0.03;0.0049;0.000004;0.001751;70895000;0.0008
SANOK;SNK;20;-0.1;-0.005;-0.000004;0.000015;22032000;0.0008
CEZ;CEZ;222.8;02.kwi;0.0109;0.000007;0.000287;1742000;0.0007
CLNPHARMA;CLN;19.lip;0;0;0;0.00047;19691000;0.0007
DECORA;DCR;74.6;-1.4;-0.0184;-0.000012;0.000027;5024000;0.0007
KOGENERA;KGN;63.5;0.6;0.0095;0.000007;0.000158;6247000;0.0007
RYVU;RVU;25.maj;0.2;0.0079;0.000005;0.000783;15022000;0.0007
SNIEZKA;SKA;82;-0.2;-0.0024;-0.000002;0.000002;4992000;0.0007
TSGAMES;TEN;84.2;0.3;0.0036;0.000002;0.001098;4506000;0.0007
11BIT;11B;141.1;-1.9;-0.0133;-0.000007;0.003847;2246000;0.0006
AGORA;AGO;wrz.18;0.2;0.0223;0.000013;0.000255;35823000;0.0006
AMICA;AMC;62.7;0.8;0.0129;0.000007;0.000635;5058000;0.0006
BORYSZEW;BRS;05.wrz;-0.04;-0.0067;-0.000004;0.000446;62793000;0.0006
FORTE;FTE;23.kwi;-0.1;-0.0043;-0.000002;0.000049;13586000;0.0006
GRENEVIA;GEA;03.sie;-0.025;-0.0081;-0.000005;0.00022;118614000;0.0006
OPONEO.PL;OPN;83.8;-2.2;-0.0256;-0.000016;0.003929;4306000;0.0006
QUERCUS;QRS;12.maj;-0.2;-0.0157;-0.000009;0.019298;27018000;0.0006
STALPROD;STP;232;-3;-0.0128;-0.000008;0.000288;1570000;0.0006
TARCZYNSKI;TAR;121;1;0.0083;0.000005;0.000003;2835000;0.0006
