Nazwa;Ticker;Kurs;Zmiana;Zmiana %;Wpływ na indeks;Udział w obrocie;Pakiet;Udział w portfelu
PMPG;PGM;1.715;-0.075;-0.0419;0;0;2594000;0
POLWAX;PWX;01.gru;-0.03;-0.0261;-0.000001;0.000071;16329000;0
PRAGMAINK;PRI;03.cze;-0.08;-0.0255;0;0.000004;1471000;0
PROCHEM;PRM;22.lut;0.3;0.0137;0.000001;0.000004;1002000;0
PROTEKTOR;PRT;01.maj;-0.05;-0.0455;-0.000001;0.000087;13377000;0
PULAWY;ZAP;49;-1.8;-0.0354;0;0.000611;0;0
PURE;PUR;3.672;-0.078;-0.0208;0;0.000101;0;0
QUANTUM;QNT;29.2;-0.2;-0.0068;0;0.000001;0;0
RAEN;RAE;0.49;-0.0075;-0.0151;0;0.000001;26823000;0
RAFAMET;RAF;38.6;0.8;0.0212;0;0.000026;0;0
REINHOLD;RHD;0.055;0;0;0;0.000004;0;0
REINO;RNC;0.82;0.04;0.0513;0;0.000001;0;0
RELPOL;RLP;kwi.93;-0.01;-0.002;0;0.000029;5398000;0
REMAK;RMK;lis.55;0.5;0.0452;0.000001;0.000018;1451000;0
RENDER;RND;76;1;0.0133;0;0.000003;215000;0
SANWIL;SNW;sty.22;-0.015;-0.0121;0;0.000079;8839000;0
SATIS;STS;0.28;-0.019;-0.0635;0;0.000002;0;0
SEKO;SEK;sie.58;-0.04;-0.0046;0;0.000007;2494000;0
SFINKS;SFS;0.368;-0.013;-0.0341;-0.000001;0.000012;29949000;0
SILVANO;SFG;kwi.85;-0.14;-0.0281;0;0;0;0
SIMFABRIC;SIM;1.588;0.068;0.0447;0.000001;0.000037;5414000;0
SKYLINE;SKL;01.kwi;-0.05;-0.0345;-0.000001;0;7475000;0
SOHODEV;SHD;0.308;0.002;0.0065;0;0.000017;0;0
STAPORKOW;ZUK;04.lip;0;0;0;0.000006;1738000;0
STARHEDGE;SHG;0.256;-0.028;-0.0986;0;0;0;0
SUNEX;SNX;mar.58;-0.11;-0.0298;-0.000001;0.000087;7017000;0
TALEX;TLX;19.kwi;0.1;0.0052;0;0.000001;473000;0
TATRY;TMR;103;-3;-0.0283;0;0;41000;0
TBULL;TBL;lut.92;-0.06;-0.0201;0;0.000001;0;0
TENDERHUT;THG;cze.26;0.32;0.0539;0;0.000001;0;0
TERMOREX;TRR;0.68;0;0;0;0;0;0
TESGAS;TSG;sty.92;-0.02;-0.0103;0;0.000016;5709000;0
TRAKCJA;TRK;mar.21;0.035;0.011;0;0.000445;0;0
TRANSPOL;TRN;mar.79;0;0;0;0.000001;7497000;0
TRITON;TRI;03.gru;0;0;0;0;0;0
ULTGAMES;ULG;lis.45;-0.25;-0.0214;-0.000001;0.000032;2350000;0
UNFOLD;UNF;sty.56;0.08;0.0541;0;0;0;0
URTESTE;URT;39.6;02.sty;0.056;0.000001;0.000004;383000;0
VIVID;VVD;0.718;-0.002;-0.0028;0;0.00004;18953000;0
WARIMPEX;WXF;lut.35;-0.01;-0.0042;0;0.000014;7728000;0
WASKO;WAS;1.695;0;0;0;0.000008;16450000;0
WIKANA;WIK;06.wrz;0;0;0;0.000001;3506000;0
WOODPCKR;WPR;lut.49;-0.03;-0.0119;0;0.000028;1689000;0
XPLUS;XPL;lut.24;-0.02;-0.0089;0;0.000007;8999000;0
YARRL;YRL;cze.74;0.04;0.006;0;0.000034;2784000;0
